host,host.inst.area,country,webpage,original.address,latitude,longitude
Sanglah Hospital,"Denpasaar, Bali",Indonesia,"<a href=""http://www.sanglahhospitalbali.com/v1/index.php"" rel=""nofollow"">http://www.sanglahhospitalbali.com/v1/index.php</a>",Denpasar,-8.65,115.216667
Sanglah Hospital,"Denpasaar, Bali",Indonesia,n/a,"Denpasaar, Bali",-8.65,115.216667
Western Regional Hospital,Belmopan,Belize,http://whr.health.gov.bz/,Belmopan,17.251389,-88.766944
Western Regional Hospital,"Belmopan, Belize",Belize,http://whr.health.gov.bz/,"Belmopan, Belize",17.251389,-88.766944
Trauma & Expedition Medicine Base Camp,Elijio Panti National Park,Belize,http://www.medforce.info,Belize,17.189877,-88.49765
Hospital das Clinicas,So Paulo,Brazil,not available,"So Paulo, Brazil",-23.55052,-46.633309
Peebles Hospital,"Road town, Tortola, BVI",British Virgin Islands,http://www.bvihsa.vg/,"Road town, Tortola, BVI",18.431389,-64.623056
Sonja Kill Memorial Hospital,Kampot,Cambodia,www.skmh.org,Kampot,10.741209,104.193092
Sonja Kill Memorial Hospital,Kampot,Cambodia,http://www.skmh.org,Kampot,10.741209,104.193092
Sonja Kill Memorial Hospital,Kampot,Cambodia,http://www.skmh.org,"Kampot, Cambodia",10.741209,104.193092
"Libin Cardiovascular Institute, Foothills Medical Centre",Calgary,Canada,http://www.libin.ucalgary.ca/,"Calgary, Canada",51.048615,-114.070846
St. Michael's Hospital and Toronto Western Hospital,Toronto,Canada,"<div class=""_pe_a _pe_X _pe_t1 _pe_b""><span class=""_pe_e""><span class=""bidi allowTextSelection"">medicine.intelective@utoronto.ca</span></span>  <div></div> </div>",Toronto,43.653226,-79.383184
University of Toronto,Toronto,Canada,"<a href=""http://www.utoronto.ca/"" rel=""nofollow"">http://www.utoronto.ca/</a>",Toronto,43.653226,-79.383184
University of British Columbia,Vancouver,Canada,www.ubc.ca,,51.578654,-3.031228
Queen Mary Hospital,Hong Kong,China,http://www.med.hku.hk/v1/,Hong Kong,22.396428,114.109497
Rarotonga Hospital,"Avarua, Rarotonga, Cook Islands",Cook Islands,http://www.health.gov.ck,"Avarua, Rarotonga, Cook Islands",-21.212901,-159.782306
Rarotonga Hospital,"Avarua, Rarotonga, Cook Islands",Cook Islands,Not Available,"Avarua, Rarotonga, Cook Islands",-21.212901,-159.782306
Hospital Universitario,Havana,Cuba,http://www.sld.cu/,Havana,23.159167,-82.271056
"Nicosia General Hospital, Cyprus.",Nicosia,Cyprus,"Project 2: aieridou@mphs.moh.gov.cy(Health Services Senior Officer at the Nicosia, General Hospital, Nicosia, Cyprus).","Nicosia, CYPRUS",35.166667,33.366667
World Health Organisation Regional Office for Europe,Copenhagen,Denmark,http://www.euro.who.int/en/home,Copenhagen,55.676097,12.568337
Cinterandes Foundation - Hospital de IESS and Subcentro de Salud San Pedo El Cebollar,Cuenca,Ecuador,www.cinterandes.org,"Cuenca, Ecuador",-2.900128,-79.005896
The Cinterandes Foundation,"Cuenca, Ecuador",Ecuador,www.cinterandes.org,"Cuenca, Ecuador",-2.900128,-79.005896
Marlow Medical Group," Marlow,Bucks",England,http://www.marlowdoctors.co.uk/,"Marlow,Bucks",51.571944,-0.776942
Liverpool Womens Hospital.,"Liverpool, England",England,http://www.liverpoolwomens.nhs.uk/,"Liverpool, England",53.408371,-2.991573
Great Ormond Street Hospital,London,England,http://www.gosh.nhs.uk/working-here/career-development/medical-students/,London,51.507351,-0.127758
"Silver Lea, Tiverton Hospital",North Devon,England,http://www.northdevonhealth.nhs.uk/services/community/tiverton/ ,"North Devon, UK",51.087157,-4.078664
Salisbury District Hospital,Wiltshire,England,http://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=RNZ02,Wiltshire,51.246271,-1.992213
Chelsea and Westminster Hospital,London,England,http://www.chelwest.nhs.uk/,London,51.507351,-0.127758
Moorfields Eye Hospital,London,England,http://www.moorfields.nhs.uk,,51.507351,-0.127758
Queen Alexandra Hospital ,Portsmouth ,England,,"Portsmouth, UK",50.816667,-1.083333
The Ipswich Hospital,"Suffolk,",England,http://www.ipswichhospital.nhs.uk/,"Suffolk, UK",52.187247,0.97078
Essex & Herts Air Ambulance Trust,Essex &amp; Hertfordshire.,England,http://www.essexairambulance.uk.com/,Essex &amp; Hertfordshire.,51.868015,0.171263
"St Thomas' Hospital, Guys and St Thomas NHS Trust","London, UK",England,http://www.guysandstthomas.nhs.uk/Home.aspx,"London, UK",51.507351,-0.127758
"King's College London School of Medicine, St. Thomas' Hospital.","Guy's and St. Thomas' NHS Foundation Trust (South Thames Deanery), Westminster, London.",England,www.guysandstthomas.nhs.uk,"Guy's and St. Thomas' NHS Foundation Trust (South Thames Deanery), Westminster, London.",51.500175,-0.133233
"Royal United Hospital, Bath.","Bath, England.",England,"<cite class=""_Rm"">www.<b>ruh</b>.nhs.uk</cite>","Bath, England.",51.375801,-2.359904
CURE Hospital,Addis Ababa,Ethiopia,https://cure.org/ethiopia/,Addis Ababa,8.980603,38.757761
CURE Hospital Ethiopia,Addis Ababa,Ethiopia,https://cure.org/ethiopia/,Addis Ababa,8.980603,38.757761
"Levuka Hospital, Fiji","Levuka, Ovalau Island, Fiji",Fiji,n/a,"Levuka, Ovalau Island, Fiji",-17.681723,178.832302
Levuka Hospital,"Levuka, Ovalau, Fiji Islands",Fiji,N/A</p> <br> <p>Elective network website:</p> <p>http://www.electives.net/hospital/3123/preview,"Levuka, Ovalau, Fiji Islands",-17.688972,178.807089
La General Hospital,"Labadi, Accra",Ghana,n/a,"Labadi, Accra",5.569583,-0.156521
Saint Augustine's Medical Services,St George's,Grenada,http://www.samsgrenada.com/,"St George's, Grenada",12.056098,-61.7488
The God's Child Project,Guatemala,Guatemala,http://www.godschild.org/countries/guatemala/,Guatemala,15.783471,-90.230759
Li Ka Shing Faculty of Medicine,Pok Fu Lam,Hong Kong,http://www.med.hku.hk/v1/,Pok Fu Lam,22.26792,114.129072
Alpha palliative care,Kochi,India,http://www.alphapalliativecare.org,Kochi,9.931233,76.267304
Lady Willingdon Hospital,Manali,India,http://www.manalihospital.com,Manali,32.239633,77.188715
Lady Willingdon Hospital,"Manali, Kullu Valley, Himachal Pradesh",India,http://www.manalihospital.com/,"Manali, Kullu Valley, Himachal Pradesh",32.01132,77.129605
Bel Air Hospital,Panchgani,India,"<a href=""http://www.belairpanchgani.org"" rel=""nofollow"">http://www.belairpanchgani.org</a>",Panchgani,17.92395,73.803675
Bel-Air Red Cross Hospital,"Panchgani, Maharashtra.",India,http://www.belairpanchgani.org,"Panchgani, Maharashtra.神",17.92395,73.803675
Gandhi Hospital,"Phagwara (Punjab, India)",India,N/A,"Phagwara (Punjab, India)",31.22402,75.770801
Gandhi Hospital,"Phagwara, Punjab",India,n/a,"Phagwara, Punjab",31.22402,75.770801
Gandhi Hospital,"Phagwara, Punjab, India",India,N/A,"Phagwara, Punjab, India",31.22402,75.770801
RSUP Sanglah,Denpasar,Indonesia,http://www.sanglahhospitalbali.com,"Denpasar, Indonesia",-8.65,115.216667
The Weizmann Institute of Science,"Rehovot, Israel",Israel,www.weizmann.ac.il/,"Rehovot, Israel",31.892773,34.811272
Universit Degli Studi di Napoli Federico II,"Naples, Italy",Italy,http://www.medicina.unina.it/home/,"Naples, Italy",40.882994,14.286579
"St Luke's International Hospital, Chuo ",Tokyo ,Japan,,"Tokyo, Japan",35.709026,139.731992
Prince Fiasal Hospital + Al Khaldi Hospital,Al Ruseifeh + Amman,Jordan,none,Al Ruseifeh + Amman,31.956578,35.945695
King Abdullah University Hospital,Irbid,Jordan,http://www.kauh.jo/,Irbid,32.545442,35.857153
Kenyatta National Hospital (through University of Nairobi),Nairobi,Kenya,http://knh.or.ke/</p> <p>http://med-school.uonbi.ac.ke/,Nairobi,-1.292066,36.821946
St Martins Hospital,Malindi; Mangochi Area.,Malawi,http://stmartinshospital.cfsites.org/custom.php?pageid=18314 <br>,Malindi; Mangochi Area.神,-3.219186,40.116891
St Martin's Hospital,Mangochi,Malawi,http://stmartinshospital.cfsites.org/,Mangochi,-14.486173,35.253304
Hospital Sultanah Bahiyah,Alor Setar,Malaysia,http://hsbas.moh.gov.my/eng/,"Kedah, Malaysia",6.118396,100.368459
Hospital Sultanah Aminah,"Johor Bahru, Johor",Malaysia,http://hsajb.moh.gov.my/versibaru/,"Johor Bahru, Johor",1.492659,103.741359
Hospital Seri Manjung,"Manjung, Perak, Malaysia",Malaysia,not applicable,"Manjung, Perak, Malaysia",4.402249,100.709787
Seberang Jaya Hospital,Penang,Malaysia,,"Penang, Malaysia",5.414921,100.329761
Hospital Tuanku Fauziah,Perlis,Malaysia,htfps@moh.gov.my,Perlis (peninsular Malaysia),4.210484,101.975766
Hospital Serdang,"Sepang, Malaysia",Malaysia,hserdang.moh.gov.my,"Sepang, Malaysia",2.691369,101.750527
Hospital Sultan Haji Ahmad Shah,"Temerloh, Pahang",Malaysia,http://hoshas.moh.gov.my/v4/,"Temerloh, Pahang",3.448649,102.416348
Mater Dei General Hospital,Msida,Malta,https://ehealth.gov.mt/HealthPortal/health_institutions/hospital_services/mater_dei_hospital/mater_dei.aspx,Msida,35.897778,14.489444
Pierre Zobda Quitman,Fort de France,Martinique,http://www.chu-fortdefrance.fr/,Fort de France,14.616065,-61.05878
Pierre Zobda Quitman Hospital,Fort De France,Martinique,www.universityhospitalmartinique.fr,Fort De France,14.616065,-61.05878
CHU (Centre Hospitalier Universitaire)de Martinique,Fort-de-France,Martinique,"<a href=""http://www.chu-fortdefrance.fr/"" rel=""nofollow"">http://www.chu-fortdefrance.fr/</a>",Fort-de-France,14.616065,-61.05878
"Hospital de Pediatria, Centro Medico Nacional Siglo XXI",Mexico City,Mexico,http://edumed.imss.gob.mx/pediatria/index.htm,Mexico City,19.432608,-99.133208
National Medical College Birgunj,Birgunj,Nepal,"<a href=""http://nmcbir.edu.np/"" rel=""nofollow"">http://nmcbir.edu.np/</a>",Birgunj,27,84.866667
Nepal Medical College and Teaching Hospital,Kathmandu city,Nepal,http://www.nmcth.edu,Kathmandu city,27.7,85.333333
National Medical College; Birgunj,Birgunj,Nepal ,http://www.nmcbir.edu.np/,,27,84.866667
Starship Children's Health,Auckland,New Zealand,https://www.starship.org.nz/,Auckland,-36.84846,174.763332
Starship Hospital.,Auckland,New Zealand,https://www.starship.org.nz/,Auckland神,-36.84846,174.763332
Middlemore Hospital,"Auckland, New Zealand",New Zealand,http://www.healthpoint.co.nz/middlemore-hospital/,"Auckland, New Zealand",-36.84846,174.763332
Starship Hospital,"Auckland, New Zealand",New Zealand,"<a href=""mailto:p.elgar@auckland.ac.nz"" tabindex=""0"" style=""line-height: 18.46px;font-weight: normal;text-decoration: underline;color: blue;cursor: pointer;font-family: Tahoma;font-size: 13.0px;font-style: normal;font-variant: normal;letter-spacing: normal;text-indent: 0.0px;text-transform: none;white-space: normal;word-spacing: 0.0px;"" rel=""nofollow""><span style=""line-height: normal;font-family: Calibri;font-size: xx-small;"">p.elgar@auckland.ac.nz</span></a></p> <p><span style=""line-height: normal;font-family: Calibri;font-size: xx-small;"">This was our contact at Auckland University who arranged the elective.</span>","Auckland, New Zealand",-36.84846,174.763332
Casebrook Surgery - General Practice Surgery</p> <p>Te Rawhiti Family Care - General Practice Surgery <br>,"Casebrook, Christchurch</p> <p>Aranui, Christchurch",New Zealand,"<a href=""http://www.casebrooksurgery.co.nz/"" rel=""nofollow"">http://www.casebrooksurgery.co.nz/</a></p> <br> <p><a href=""http://www.terawhitifamilycare.co.nz/"" rel=""nofollow"">http://www.terawhitifamilycare.co.nz/</a>","Casebrook, Christchurch</p> <p>Aranui, Christchurch",-43.477265,172.606783
Christchurch Hospital,Christchurch,New Zealand,"<a href=""http://www.cdhb.health.nz/Hospitals-Services/hospitals/Christchurch-Hospital/Pages/default.aspx"" rel=""nofollow"">http://www.cdhb.health.nz/Hospitals-Services/hospitals/Christchurch-Hospital/Pages/default.aspx</a> <br>",Christchurch,-43.532054,172.636225
Christchurch Hospital,Christchurch,New Zealand,http://www.cdhb.health.nz/Hospitals-Services/hospitals/Christchurch-Hospital/Pages/default.aspx,Christchurch,-43.532054,172.636225
Christchurch Hospital,Christchurch,New Zealand,http://www.cdhb.health.nz/Hospitals-Services/hospitals/Christchurch-Hospital/Pages/default.aspx,Christchurch,-43.532054,172.636225
"Christchurch Hospital, University of Dunedin",Christchurch,New Zealand,www.otago.ac.nz/christchurch/index.html,Christchurch,-43.532054,172.636225
"Chrsitchurch Hosptial, University of Otago",Christchurch,New Zealand,"<a href=""http://www.otago.ac.nz/christchurch/study/otago013588.html"" rel=""nofollow"" rel=""nofollow"">http://www.otago.ac.nz/christchurch/study/otago013588.html</a>",Christchurch,-43.532054,172.636225
Princess Margaret Hospital,Christchurch,New Zealand,www.otago.ac.nz/christchurch,Christchurch,-43.532054,172.636225
Christchurch Public Hospital,"Christchurch, New Zealand",New Zealand,<Unanswered>,"Christchurch, New Zealand",-43.532054,172.636225
Gisborne Hospital,Gisborne,New Zealand,http://www.tdh.org.nz <br>,Gisborne,-38.662334,178.017649
Waikato clinical school,Hamilton,New Zealand,https://www.fmhs.auckland.ac.nz/en/som/about/clinical-schools/waikato.html,"Hamilton, New Zealand,",-37.787001,175.279253
Waikato Hospital,Hamilton,New Zealand,"<div><span class="" fz-ms fw-m fc-12th wr-bw""><a href=""http://www.waikatodhb.health.nz"" rel=""nofollow"" rel=""nofollow"">www.waikatodhb.health.nz</a> </span></div>","Hamilton, New Zealand,",-37.787001,175.279253
Waikato Hospital,Hamilton,New Zealand,http://www.waikatodhb.health.nz,"Hamilton, New Zealand,",-37.787001,175.279253
"Waikato Hospital, Hamilton, Waikato District Health Board",Hamilton,New Zealand,"<a href=""http://www.waikatodhb.health.nz"" rel=""nofollow"">www.waikatodhb.health.nz</a>","Hamilton, New Zealand,",-37.787001,175.279253
Waikato Hospital,Hamilton,New Zealand,"<span style=""color: rgb(0,102,33);font-family: arial , sans-serif;font-size: 14.0px;font-style: normal;font-variant: normal;font-weight: normal;letter-spacing: normal;line-height: 16.0px;orphans: 2;text-indent: 0.0px;text-transform: none;white-space: nowrap;widows: 2;word-spacing: 0.0px;"">www.</span><b style=""color: rgb(0,102,33);font-family: arial , sans-serif;font-size: 14.0px;font-style: normal;font-variant: normal;letter-spacing: normal;line-height: 16.0px;orphans: 2;text-indent: 0.0px;text-transform: none;white-space: nowrap;widows: 2;word-spacing: 0.0px;"">waikatodhb</b><span style=""color: rgb(0,102,33);font-family: arial , sans-serif;font-size: 14.0px;font-style: normal;font-variant: normal;font-weight: normal;letter-spacing: normal;line-height: 16.0px;orphans: 2;text-indent: 0.0px;text-transform: none;white-space: nowrap;widows: 2;word-spacing: 0.0px;"">.health.nz</span>","Hamilton, New Zealand,",-37.787001,175.279253
Middlemore Hospital and Auckland City Hospital,Middlemore &amp; Auckland,New Zealand,"<a href=""https://www.fmhs.auckland.ac.nz/en/faculty/for/international-students/electives.html"" rel=""nofollow"" rel=""nofollow"">https://www.fmhs.auckland.ac.nz/en/faculty/for/international-students/electives.html</a>",Middlemore &amp; Auckland,-36.993956,174.877198
Taranaki Base Hospital,New Plymouth,New Zealand,"<span style=""font-size: 11.0pt;line-height: 115.0%;font-family: Calibri , sans-serif;"">www.tdhb.org.nz</span>",New Plymouth,-39.055625,174.075228
Taranaki Base Hospital,New Plymouth,New Zealand,"<a href=""http://www.tdhb.org.nz/hospitals/base_hospital.shtml"" rel=""nofollow"" rel=""nofollow"">http://www.tdhb.org.nz/hospitals/base_hospital.shtml</a> <br>",New Plymouth,-39.055625,174.075228
Thames Hospital,"Thames, Waikato.",New Zealand,http://www.waikatodhb.health.nz/for-patients-and-visitors/where-are-you-visiting/thames-hospital/,"Thames, Waikato.",-37.138442,175.54135
Wellington Hospital,"Wellington, New Zealand",New Zealand,"<a href=""http://www.ccdhb.org.nz/aboutus/"" rel=""nofollow"">http://www.ccdhb.org.nz/aboutus/</a>","Wellington, New Zealand",-41.28646,174.776236
Wellington Regional Hospital,"Wellington, New Zealand",New Zealand,<strong>www.otago.ac.nz/wellington/study/electives</strong>,"Wellington, New Zealand",-41.28646,174.776236
Whakatane Hospital,Whakatane,New Zealand,"<a href=""http://www.bopdhb.govt.nz/going-to-hospital/whakatane-hospital/#sthash.5Fk6Q4pC.SDnTRBDk.dpbs"" rel=""nofollow"">http://www.bopdhb.govt.nz/going-to-hospital/whakatane-hospital/#sthash.5Fk6Q4pC.SDnTRBDk.dpbs</a>",Whakatane,-37.953411,176.990801
Whakatane Hospital,Whakatane,New Zealand,http://www.bopdhb.govt.nz/going-to-hospital/whakatane-hospital/#sthash.kere4uRe.dpbs,Whakatane,-37.953411,176.990801
Whakatane Hospital,"Whakatane, Bay of Plenty",New Zealand,<Unanswered>,"Whakatane, Bay of Plenty",-37.953411,176.990801
Whakatane Hospital,"Whakatane, Bay of Plenty",New Zealand,http://www.bopdhb.govt.nz/,"Whakatane, Bay of Plenty",-37.953411,176.990801
Thames Hospital,Thames,New Zealand,http://www.waikatodhb.health.nz/for-patients-and-visitors/where-are-you-visiting/thames-hospital/,Thames,-37.138442,175.54135
Christchurch General Hospital,Christchurch,New Zealand,"<span style=""font-size: 12.0pt;font-family: Cambria;"">Elective officers web address: <a href=""mailto:rowena.fisher@otago.ac.nz"" rel=""nofollow"">rowena.fisher@otago.ac.nz</a></span>","Christchurch, New Zealand",-43.532054,172.636225
Altnagelvin Area Hospital,"Derry, Northern Ireland ",Northern Ireland,,"Derry, Northern Ireland",54.996612,-7.308575
Floating Doctors,"Bocas del Toro, Panama",Panama,http://floatingdoctors.com/,"Bocas del Toro, Panama",9.340556,-82.240556
Floating Doctors Panama,"Bocas del Toro, Panama",Panama,http://floatingdoctors.com/,"Bocas del Toro, Panama",9.340556,-82.240556
Antonio Lorena Hospital,Cusco,Peru,http://www.hospitalantoniolorena.com,Cusco,-13.53195,-71.967463
Hospital Antonio Lorena,Cusco,Peru,N/A,Cusco,-13.53195,-71.967463
"Hospital Essalud, Cusco",Cusco,Peru,Not available,Cusco,-13.53195,-71.967463
"Hospital Nivel IV Adolfo Guevara Velasco (EsSalud), Cusco",Cusco,Peru,n/a,Cusco,-13.53195,-71.967463
Hospital Antonio Lorena,"Cusco, Peru",Peru,www.hospitalantoniolorena.com,"Cusco, Peru",-13.53195,-71.967463
Hospital Antonio Lorena,"Cusco, Peru",Peru,http://www.hospitalantoniolorena.com/,"Cusco, Peru",-13.53195,-71.967463
"Hospital Antonio Lorena Cusco, Peru","Cusco, Peru",Peru,http://www.hospitalantoniolorena.com,"Cusco, Peru",-13.53195,-71.967463
Hospital Nacional Adolfo Guevara Valasco,"Cusco, Peru",Peru,www.medicalelectives.cc,"Cusco, Peru神",-12.053005,-77.026593
"Hospital Essalud Adolfo Guevara (Cusco, Peru) and Santa Rosa Hospital (Puerto Maldonado, Peru)","Cusco, Peru and Puerto Maldonado, Peru",Peru,Not available,"Cusco, Peru and Puerto Maldonado, Peru",-12.588321,-69.185578
"Essalud Cusco, Adolfo Guavera</p> <p>Puerta Maldonado Hospital","Cusco, Peru</p> <p>Puerto Maldonado, Peru",Peru,Not available,"Cusco, Peru</p> <p>Puerto Maldonado, Peru",-12.588321,-69.185578
Amazon Hope 2 Boat</p> <p>Hospital Edguardo Rebagliati Martines,Maranon River</p> <p>Lima,Peru,http://www.vinetrust.org/</p> <p>N/A,Maranon River</p> <p>Lima,-12.046374,-77.042793
Tacloban City Hospital,"Tacloban, Leyte Province",Philippines,<strong>Volunteer Website:</strong>http://www.visayans.org/</p> <p><strong>Volunteer Co-ordinator Email:   </strong>ester.costim@visayans.org</p> <p><strong>General Volunteer Company Email:</strong>   vfv.info@visayans.org,"Tacloban, Leyte Province",11.250428,125.003911
Volunteer for the Visayans NGO charity organization- Tacloban City Hospital,"Tacloban, Leyte, Philippines",Philippines,www.visayans.org,"Tacloban, Leyte, Philippines神",11.25,125
Victoria General Hospital (Saint Lucia)</p> <p>,Castries</p> <p>,St Lucia,"<a href=""http://www.medforce.info/"" rel=""nofollow"" rel=""nofollow"">Not</a> available",Castries</p> <p>神,14.010109,-60.987469
"Milton Cato Memorial Hospital, Kingstown, Saint Vincent.",Kingstown,St Vincent and The Grenadines,Email -kghsvg@vincysurf.com,Kingstown,13.157778,-61.225
Tupua Tamasese Maeole (TTM) Hospital Samoa.,"Moto'otua, Apia, Samoa",Samoa,http://www.health.gov.ws,"Moto'otua, Apia, Samoa",-13.846056,-171.762979
Tupua Tamasese Meaole Hospital,Apia,Samoa,veronika.wong@oum.edu.ws,Apia,-13.833333,-171.75
"Tupua Tamasese Meaole (TTM) Hospital, Apia",Apia,Samoa,n/a,Apia,-13.833333,-171.75
Tupua Tamasese Meaole Hospital,Apia,Samoa,N/A,Apia,-13.833333,-171.75
Tupua Tamasese Meaole Hospital,Apia,Samoa,Not available,Apia,-13.833333,-171.75
Tupua Tamasese Meaole Hospital,Apia,Samoa,N/a,Apia,-13.833333,-171.75
Tupua Tamasese Meaole Hospital,Apia,Samoa,It doesn't have its own web page,Apia,-13.833333,-171.75
Tupua Tamasese Meaole Hospital,Apia,Samoa,http://www.health.gov.ws/,Apia,-13.833333,-171.75
Tupua Tamasese Meaole Hospital,Apia,Samoa,Not available,Apia,-13.833333,-171.75
"Tupua Tamasese Meaole Hospital, Apia","Apia, Samoa",Samoa,n/a,"Apia, Samoa神",-13.833333,-171.75
Tupua Tamasese Meaole Hospital</p> <p>National University of Samoa,"Apia, Samoa",Samoa,http://www.nus.edu.ws,"Apia, Samoa",-13.833333,-171.75
University of Samoa - Faculty of Medicine and Tupua Tamasese Meaole (TTM) Hospita,"Apia, Samoa",Samoa,"There is no website available for TTM hospital, Apia, Samoa. The centre contact was Mrs Veronika Wong, who I contacted at <span style=""font-size: small;font-family: arial , helvetica , sans-serif;"">v.wong@nus.edu.ws. </span></p> <p>However, the website for Altnagelvin Area Hospital is http://www.westerntrust.hscni.net/AltnagelvinHospital.htm. My contact at the hospital was Mrs Alison Heath, contactable on <span style=""font-size: 11.0pt;font-family: Calibri , sans-serif;color: black;""><a href=""mailto:Alison.Heath@westerntrust.hscni.net"" target=""_blank"" rel=""nofollow"" rel=""nofollow"">Alison.Heath@westerntrust.hscni.net</a></span>.","Apia, Samoa",-13.833333,-171.75
"Western General Hospital, Edinburgh, NHS Lothian","City of Edinburgh, Lothian",Scotland,,"Edinburgh, Scotland",55.953252,-3.188267
The Belford Hospital,"Fort William, Scotland",Scotland,http://www.nhshighland.scot.nhs.uk/Services/Pages/BelfordHospital.aspx,"Fort William, Scotland",56.819817,-5.105218
National Referral Hospital,Honiara,Solomon Islands,,<span style=color: rgb(0,-9.435092,159.951239
National Referral Hospital and Taro Hospital,"Honiara, Guadalcanal Province and Taro, Choiseul Province respectively.",Solomon Islands,"No official website, howeverhttp://www.hermannoberli.ch/general_e.htm is a good website for information on hositals in Solomon Islands.","Honiara, Guadalcanal Province and Taro, Choiseul Province respectively.",-9.435092,159.951239
Taro Hospital,"Taro, Choiseul Province",Solomon Islands,http://www.hermannoberli.ch/taro_hosp.htm,"Taro, Solomon Islands",-6.709002,156.395903
Tintswalo Hospital,Acornhoek,South Africa,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/tintswalo_hospital_acornhoek_mpumalanga_south_africa,Acornhoek,-24.600617,31.085102
"Tintswalo Hospital, Acornhoek",Acornhoek,South Africa,N/A,Acornhoek,-24.600617,31.085102
Tintswalow Hospital,"Acornhoek, Limpopo, South Africa",South Africa,n/a,"Acornhoek, Limpopo, South Africa",-24.600617,31.085102
Tintswalo Hospital,"Acornhoek, Mpumalanga province",South Africa,N/A,"Acornhoek, Mpumalanga province",-24.600617,31.085102
Tintswalo Hospital,"Acornhoek, Mpunalanga province",South Africa,N/A None availble,"Acornhoek, Mpunalanga province",-24.600617,31.085102
Tygerberg Hospital,"Bellville, Cape Town",South Africa,N/A,"Bellville, Cape Town神",-33.90591,18.62815
South Africa: Charlotte Maxeke Johannesburg Academic Hospital</p> <p>USA: ,Johannesburg,South Africa,http://www.wits.ac.za/,Johannesburg,-26.204103,28.047305
Steve Biko Academic Hospital,Pretoria,South Africa,http://www.pah.org.za/ <br> <br>,Pretoria,-25.746111,28.188056
"Steve Biko Academic Hospital, Pretoria",Pretoria,South Africa,http://www.pah.org.za/,Pretoria,-25.746111,28.188056
Steve Biko Academic Hospital</p> <p>University of Pretoria,"Pretoria, Gauteng Province, South Africa",South Africa,http://www.pah.org.za</p> <p>http://www.up.ac.za,"Pretoria, Gauteng Province, South Africa",-25.746111,28.188056
Steve Biko Hospital,"Pretoria, South Africa",South Africa,<Unanswered>,"Pretoria, South Africa神",-25.746111,28.188056
Chris Hani Baragwanath Academic Hospital,"Soweto, Johannesburg",South Africa,http://baragwanathtrauma.com/,"Soweto, Johannesburg",-26.248538,27.854032
Steve Biko Teaching Hospital,Pretoria,South Africa,,"Pretoria, South Africa",-25.746111,28.188056
